data_name,add_self_loop,n_layers,drop_edge,pari_norm,activations,test_acc
cora,False,1,0.3,True,tanh,0.499
cora,False,1,0.3,True,sigmoid,0.499
cora,False,1,0.3,False,relu,0.628
cora,False,1,0.3,False,tanh,0.628
cora,False,1,0.3,False,sigmoid,0.628
cora,False,1,0.5,True,relu,0.424
cora,False,1,0.5,True,tanh,0.424
cora,False,1,0.5,True,sigmoid,0.424
cora,False,1,0.5,False,relu,0.524
cora,False,1,0.5,False,tanh,0.524
cora,False,1,0.5,False,sigmoid,0.524
cora,False,2,0.0,True,relu,0.673
cora,False,2,0.0,True,tanh,0.677
cora,False,2,0.0,True,sigmoid,0.505
cora,False,2,0.0,False,relu,0.781
cora,False,2,0.0,False,tanh,0.78
cora,False,2,0.0,False,sigmoid,0.103
cora,False,2,0.1,True,relu,0.646
cora,False,2,0.1,True,tanh,0.654
cora,False,2,0.1,True,sigmoid,0.511
cora,False,2,0.1,False,relu,0.761
cora,False,2,0.1,False,tanh,0.756
cora,False,2,0.1,False,sigmoid,0.1
cora,False,2,0.2,True,relu,0.64
cora,False,2,0.2,True,tanh,0.634
cora,False,2,0.2,True,sigmoid,0.475
cora,False,2,0.2,False,relu,0.749
cora,False,2,0.2,False,tanh,0.751
cora,False,2,0.2,False,sigmoid,0.11
cora,False,2,0.3,True,relu,0.626
cora,False,2,0.3,True,tanh,0.601
cora,False,2,0.3,True,sigmoid,0.503
cora,False,2,0.3,False,relu,0.696
cora,False,2,0.3,False,tanh,0.697
cora,False,2,0.3,False,sigmoid,0.104
cora,False,2,0.5,True,relu,0.537
cora,False,2,0.5,True,tanh,0.526
cora,False,2,0.5,True,sigmoid,0.492
cora,False,2,0.5,False,relu,0.633
cora,False,2,0.5,False,tanh,0.631
cora,False,2,0.5,False,sigmoid,0.103
cora,False,3,0.0,True,relu,0.685
cora,False,3,0.0,True,tanh,0.681
cora,False,3,0.0,True,sigmoid,0.357
cora,False,3,0.0,False,relu,0.761
cora,False,3,0.0,False,tanh,0.757
cora,False,3,0.0,False,sigmoid,0.129
cora,False,3,0.1,True,relu,0.673
cora,False,3,0.1,True,tanh,0.677
cora,False,3,0.1,True,sigmoid,0.307
cora,False,3,0.1,False,relu,0.733
cora,False,3,0.1,False,tanh,0.743
cora,False,3,0.1,False,sigmoid,0.142
cora,False,3,0.2,True,relu,0.661
cora,False,3,0.2,True,tanh,0.643
cora,False,3,0.2,True,sigmoid,0.315
cora,False,3,0.2,False,relu,0.699
cora,False,3,0.2,False,tanh,0.715
cora,False,3,0.2,False,sigmoid,0.145
cora,False,3,0.3,True,relu,0.654
cora,False,3,0.3,True,tanh,0.625
cora,False,3,0.3,True,sigmoid,0.243
cora,False,3,0.3,False,relu,0.68
cora,False,3,0.3,False,tanh,0.695
cora,False,3,0.3,False,sigmoid,0.159
cora,False,3,0.5,True,relu,0.598
cora,False,3,0.5,True,tanh,0.567
cora,False,3,0.5,True,sigmoid,0.253
cora,False,3,0.5,False,relu,0.587
cora,False,3,0.5,False,tanh,0.619
cora,False,3,0.5,False,sigmoid,0.172
cora,False,5,0.0,True,relu,0.699
cora,False,5,0.0,True,tanh,0.716
cora,False,5,0.0,True,sigmoid,0.206
cora,False,5,0.0,False,relu,0.095
cora,False,5,0.0,False,tanh,0.735
cora,False,5,0.0,False,sigmoid,0.208
cora,False,5,0.1,True,relu,0.69
cora,False,5,0.1,True,tanh,0.687
cora,False,5,0.1,True,sigmoid,0.195
cora,False,5,0.1,False,relu,0.092
cora,False,5,0.1,False,tanh,0.718
cora,False,5,0.1,False,sigmoid,0.123
cora,False,5,0.2,True,relu,0.653
cora,False,5,0.2,True,tanh,0.687
cora,False,5,0.2,True,sigmoid,0.191
cora,False,5,0.2,False,relu,0.167
cora,False,5,0.2,False,tanh,0.694
cora,False,5,0.2,False,sigmoid,0.131
cora,False,5,0.3,True,relu,0.605
cora,False,5,0.3,True,tanh,0.644
cora,False,5,0.3,True,sigmoid,0.205
cora,False,5,0.3,False,relu,0.157
cora,False,5,0.3,False,tanh,0.082
cora,False,5,0.3,False,sigmoid,0.142
cora,False,5,0.5,True,relu,0.499
cora,False,5,0.5,True,tanh,0.509
cora,False,5,0.5,True,sigmoid,0.211
cora,False,5,0.5,False,relu,0.149
cora,False,5,0.5,False,tanh,0.06
cora,False,5,0.5,False,sigmoid,0.175
cora,False,10,0.0,True,relu,0.108
cora,False,10,0.0,True,tanh,0.51
cora,False,10,0.0,True,sigmoid,0.074
cora,False,10,0.0,False,relu,0.129
cora,False,10,0.0,False,tanh,0.162
cora,False,10,0.0,False,sigmoid,0.275
cora,False,10,0.1,True,relu,0.139
cora,False,10,0.1,True,tanh,0.603
cora,False,10,0.1,True,sigmoid,0.197
cora,False,10,0.1,False,relu,0.108
cora,False,10,0.1,False,tanh,0.723
cora,False,10,0.1,False,sigmoid,0.251
cora,False,10,0.2,True,relu,0.136
cora,False,10,0.2,True,tanh,0.577
cora,False,10,0.2,True,sigmoid,0.199
cora,False,10,0.2,False,relu,0.125
cora,False,10,0.2,False,tanh,0.082
cora,False,10,0.2,False,sigmoid,0.221
cora,False,10,0.3,True,relu,0.131
cora,False,10,0.3,True,tanh,0.539
cora,False,10,0.3,True,sigmoid,0.07
cora,False,10,0.3,False,relu,0.17
cora,False,10,0.3,False,tanh,0.567
cora,False,10,0.3,False,sigmoid,0.219
cora,False,10,0.5,True,relu,0.15
cora,False,10,0.5,True,tanh,0.299
cora,False,10,0.5,True,sigmoid,0.184
cora,False,10,0.5,False,relu,0.24
cora,False,10,0.5,False,tanh,0.153
cora,False,10,0.5,False,sigmoid,0.184
